mes,municipio,departamento,valorobservado,riesgo_humedad
2015-08,PASTO,NARIÑO,69.6038781163435,óptimo
2015-08,PUERRES,NARIÑO,44.98316970546985,riesgo_baja_humedad
2015-08,PUERTO SALGAR,CUNDINAMARCA,88.77943615257048,riesgo_moderado_alta_humedad
2015-08,QUEBRADANEGRA,CUNDINAMARCA,62.30123796423659,óptimo
2015-08,SAN BERNARDO,CUNDINAMARCA,98.86675639300135,riesgo_alto_alta_humedad
2015-08,SAN CAYETANO,CUNDINAMARCA,73.89509536784742,óptimo
2015-08,TAMINANGO,NARIÑO,63.573584905660375,óptimo
2015-08,TÚQUERRES,NARIÑO,79.14285714285714,óptimo
2015-08,VILLAPINZÓN,CUNDINAMARCA,1.011764705882353,riesgo_baja_humedad
2015-08,VILLETA,CUNDINAMARCA,54.900136798905606,ligeramente_seco
2015-08,ZIPAQUIRÁ,CUNDINAMARCA,94.38255977496483,riesgo_alto_alta_humedad
2015-09,BARBACOAS,NARIÑO,98.46598639455782,riesgo_alto_alta_humedad
2015-09,CABRERA,CUNDINAMARCA,77.6996699669967,óptimo
2015-09,CONTADERO,NARIÑO,64.89125295508275,óptimo
2015-09,GIRARDOT,CUNDINAMARCA,50.956944444444446,ligeramente_seco
2015-09,GUASCA,CUNDINAMARCA,89.37992277992278,riesgo_moderado_alta_humedad
2015-09,LA CALERA,CUNDINAMARCA,19.855555555555554,riesgo_baja_humedad
2015-09,LENGUAZAQUE,CUNDINAMARCA,77.36820083682008,óptimo
2015-09,MOSQUERA,CUNDINAMARCA,77.46511627906976,óptimo
2015-09,NEMOCÓN,CUNDINAMARCA,81.79248366013071,riesgo_moderado_alta_humedad
2015-09,PASCA,CUNDINAMARCA,74.89655172413794,óptimo
2015-09,PASTO,NARIÑO,65.43149129447389,óptimo
2015-09,PUERRES,NARIÑO,78.61036789297658,óptimo
2015-09,PUERTO SALGAR,CUNDINAMARCA,90.7606490872211,riesgo_alto_alta_humedad
2015-09,QUEBRADANEGRA,CUNDINAMARCA,68.04068857589985,óptimo
2015-09,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-09,SAN CAYETANO,CUNDINAMARCA,67.53244837758112,óptimo
2015-09,TÚQUERRES,NARIÑO,76.70567375886525,óptimo
2015-09,VILLAPINZÓN,CUNDINAMARCA,1.037313432835821,riesgo_baja_humedad
2015-09,VILLETA,CUNDINAMARCA,56.5616224648986,ligeramente_seco
2015-09,ZIPAQUIRÁ,CUNDINAMARCA,88.13821138211382,riesgo_moderado_alta_humedad
2015-10,BARBACOAS,NARIÑO,97.84219554030875,riesgo_alto_alta_humedad
2015-10,CABRERA,CUNDINAMARCA,83.9536,riesgo_moderado_alta_humedad
2015-10,CONTADERO,NARIÑO,69.94985673352436,óptimo
2015-10,GIRARDOT,CUNDINAMARCA,64.78061911170929,óptimo
2015-10,GUASCA,CUNDINAMARCA,90.58655462184873,riesgo_alto_alta_humedad
2015-10,LA CALERA,CUNDINAMARCA,88.07098765432099,riesgo_moderado_alta_humedad
2015-10,LENGUAZAQUE,CUNDINAMARCA,76.32049518569464,óptimo
